symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sh600036,600036,招商银行,42.96,0.0,0.0,42.92,42.95,42.96,42.9,43.26,42.85,16690639,718105924,10:49:20,7.631,1.081,108344456.7019,88621945.266984,0.08091000000000001
sh600037,600037,歌华有线,7.87,-0.02,-0.253,7.86,7.87,7.89,7.95,8.04,7.86,8795917,69775041,10:49:18,-63.519,0.857,1095329.194708,1095329.194708,0.63199
sh600038,600038,中直股份,37.88,0.86,2.323,37.88,37.89,37.02,37.04,37.89,36.71,9066116,339171399,10:49:19,50.439,1.932,3105755.490844,2533926.617148,1.35531
sh600039,600039,四川路桥,7.38,0.08,1.096,7.38,7.39,7.3,7.29,7.4,7.22,13174580,96450908,10:49:21,7.096,1.415,6428009.13993,4947285.91041,0.19653
sh600048,600048,保利发展,8.78,-0.12,-1.348,8.78,8.79,8.9,8.82,8.83,8.71,65757628,575141087,10:49:20,8.693,0.537,10510049.321004,10510049.321004,0.5493300000000001
sh600050,600050,中国联通,6.47,-0.06,-0.919,6.46,6.47,6.53,6.5,6.57,6.43,251872499,1634602272,10:49:18,24.789,1.237,20574976.108864,20238250.911264,0.80522
sh600051,600051,宁波联合,6.83,0.03,0.441,6.82,6.83,6.8,6.81,6.89,6.78,1560700,10663166,10:49:10,20.088,0.635,212331.04,212331.04,0.5020300000000001
sh600052,600052,东望时代,4.61,-0.06,-1.2850000000000001,4.6,4.61,4.67,4.64,4.66,4.58,2282100,10505905,10:49:20,32.929,1.295,389173.775601,389173.775601,0.27033
sh600053,600053,九鼎投资,14.05,-0.62,-4.226,14.03,14.05,14.67,14.3,14.39,13.88,8841366,124147448,10:49:19,396.893,2.104,609124.824,609124.824,2.03934
sh600054,600054,黄山旅游,11.63,0.04,0.34500000000000003,11.63,11.64,11.59,11.58,11.65,11.52,2574801,29859144,10:49:18,20.052,1.833,848268.28872,596967.9,0.5016200000000001
sh600055,600055,万东医疗,17.83,-0.05,-0.28,17.82,17.83,17.88,17.85,17.95,17.66,2417095,42961744,10:49:11,66.283,6.404,1253557.866414,964275.282817,0.44693000000000005
